epoch,loss,val_loss
0,81.79096599936486,166.6150665283203
1,nan,166.6150665283203
0,8.185148020267487,5.419391632080078
0,2.8756916522979736,2.872812509536743
1,2.869943380355835,2.8670687675476074
2,2.8642044067382812,2.8613362312316895
0,2.8584790229797363,2.8556160926818848
1,2.8527636528015137,2.849907398223877
2,2.847059726715088,2.844210386276245
3,2.8413708209991455,2.8385250568389893
4,2.8356902599334717,2.8328514099121094
5,2.830021858215332,2.8271896839141846
6,2.8243653774261475,2.8215396404266357
7,2.8187217712402344,2.8159008026123047
8,2.81308913230896,2.8102731704711914
9,2.807467222213745,2.804657220840454
